Log Number ,Date of Collection,Camp Location,"Name  (None, Found in Debris-FID, Self Packed )",Description,Bike Count,Disposed after ,Target Disposal Date,Disposed (Yes/No = Delivered),
1671,1/21/2022,Thornton Creek & NE 125th St,found in debris,Black hard plastic suitcase with misc clothes and toys,,70 Days,4/1/2022,Yes,
1656,1/26/2022,Commodore Park,T1-JL-0126,"1 pair brown boots, blue sleeping bag, misc tools, red suitcase w/books, black gloves + misc iteams, green tents w/poles",,70 Days,4/7/2022,Yes,
1657,1/26/2022,Commodore Park,T2-JL-0126,"green tent w/poles, blue + green blanket, black pants, 2 grey t-shirts, black plastic bag w/misc clothes, black backpack",,70 Days,4/7/2022,Yes,
1665,2/15/2022,4th & Yesler,T1-KQR-0215,"Green foot locker, Green sleeping bag, Green rain jacket, Multi purple tools, Tablet (Sk1 device), Husky flashlight",,70 Days,4/26/2022,Yes,
1658,2/28/2022,2nd Ave & Lenora St,T2-JL-0228,Blue tent with poles,,70 Days,5/9/2022,Yes,
1659,2/28/2022,2nd Ave & Clay St,T6-JL-0228,"Black jacket, Gray sweatpants, Red black sweater, Black bag with misc clothes, Red blanket in black bag",,70 Days,5/9/2022,Yes,
1664,2/28/2022,Elliot & Vine,T1-KQR-0228,"Black jacket with green trim, Purple husky jersey, Hooded grey, white, black comoflague sweat jacket, Blood Pressure moniter, Purple pillo with green and gold patterns, Silver and grey pillow, Mazda Vehicle handbook",,70 Days,5/9/2022,Yes,
1660,3/1/2022,4th Ave & Yesler,T1-JL-0301,"Red tent with poles, 3 hats, 2 pairs of shoes, 1 Black jacket",,70 Days,5/10/2022,Yes,
1661,3/9/2022,4th Ave from James St to Cherry St,T6-JL-0309,"Large Black suitcase with green jacket, TV screen, misc clothes, 3 small electronic screens with misc cords, Orange umbrella, Sharp microwave in box, Blue tent with poles",,70 Days,5/18/2022,Yes,
1662,3/9/2022,4th Ave from James St to Cherry St,T4-JL-0309,"Gray backpack, small Black suitcase with Black rain gear and misc clothes",,70 Days,5/18/2022,Yes,
1663,3/9/2022,4th Ave from James St to Cherry St,found in debris,Blue kobalt pressure washer,,70 Days,5/18/2022,Yes,
