FID,Shape *,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Cleanup,Site_Name,Property_O,Precinct,Type,Complaint,Inspect,Post,Outreach,Cleanup_1,Latitude,Longitude,OBJECTID_2,AREA,PERIMETER,HOODS_,HOODS_ID,S_HOOD,L_HOOD,L_HOODID,SYMBOL,SYMBOL2
218,Point,219,1,218,219,1089-03,Ballard Locks Across from 3244 NW 54th St,SDOT,North,Encampment,4/1/2016,4/4/2016,4/4/2016,4/18/2016,4/18/2016,47.667434,-122.399757,28,22431280,27347.494,30,129,Adams,BALLARD,7,11,33
451,Point,452,1,451,452,135-03,5300 24th Ave NW,SDOT,North,Encampment,7/21/2015,8/7/2015,8/7/2015,8/24/2015,8/24/2015,47.667132,-122.387656,28,22431280,27347.494,30,129,Adams,BALLARD,7,11,33
1582,Point,1583,1,1582,1583,31-05,Alaskan Way Viaduct & Lenora St,SDOT,West,Camping,5/5/2014,5/9/2014,<Null>,5/14/2014,5/14/2014,47.610821,-122.345424,60,14974037,21967.6,62,156,Belltown,DOWNTOWN,13,11,81
1711,Point,1712,1,1711,1712,351-03,1811 Eastlake Ave,SDOT,West,Camping,5/9/2012,6/8/2012,<Null>,6/8/2012,6/8/2012,47.618372,-122.329545,60,14974037,21967.6,62,156,Belltown,DOWNTOWN,13,11,81
1721,Point,1722,1,1721,1722,351-13,1811 Eastlake Ave,SDOT,West,Camping,4/10/2015,4/10/2015,4/10/2015,4/17/2015,4/17/2015,47.618372,-122.329545,60,14974037,21967.6,62,156,Belltown,DOWNTOWN,13,11,81
376,Point,377,1,376,377,122-07,Bellevue Place Park,Parks,East,Camping,10/15/2014,<Null>,10/17/2014,12/18/2014,12/18/2014,47.626692,-122.327716,100,30239240,26851.947,102,151,Broadway,CAPITOL HILL,11,3,0
378,Point,379,1,378,379,122-09,Bellevue Place Park,Parks,East,Camping,8/7/2015,7/29/2015,8/10/2015,8/13/2015,8/13/2015,47.626692,-122.327716,100,30239240,26851.947,102,151,Broadway,CAPITOL HILL,11,3,0
2389,Point,2390,1,2389,2390,550-02,Cal Anderson Park,Parks,East,Camping,4/29/2013,8/13/2013,<Null>,8/13/2013,8/13/2013,47.615673,-122.318178,100,30239240,26851.947,102,151,Broadway,CAPITOL HILL,11,3,0
2700,Point,2701,1,2700,2701,672-01,10th Avenue East & East Denny Way,SDOT,East,Camping,2/19/2014,3/21/2014,3/24/2014,3/28/2014,3/28/2014,47.61876,-122.319525,100,30239240,26851.947,102,151,Broadway,CAPITOL HILL,11,3,0
444,Point,445,1,444,445,133-01,Alaskan Way S / S Brougham Way,WSDOT,West,Encampment,7/1/2009,7/2/2009,7/8/2009,7/14/2009,7/14/2009,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
