sitename,Address,firstComplaint,lastComplaint,NumOfComplaints,NumOfCleanups,NumOfEncampments,NumOfCamps,NumOfOutreachContacted,NumOfOutreachReferred,MapLatitude,MapLongitude,TargetDate,CleanupScheduledOrCompleteDate,CleanupStatus,CleanupID,CleanupSiteCondition,ComplaintSiteCondition,InspectionSiteCondition,OutreachSiteCondition,PoliceSiteCondition,MaintenanceSiteCondition,InventoryInfo,Documents,EncampmentStatus
Arboretum,"Seattle, WA, USA",3/10/2010,6/27/2018,15,7,2,5,6,6,47.64228976,-122.2912216,1/25/2016,2/9/2016,C,4433,"1 Garbage / Litter, 1 Human Waste, 1 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Weapons, 1 Alcohol / Drugs, 2 Property Damage, 6 Number of Structures, 2 Personal Property Recovered, ","1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Number of People, 1 Number of Structures, 2 Garbage / Litter, 2 Human Waste, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Property Damage, 6 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Alcohol / Drugs, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Encampment
9th Ave S & S Jackson St - Stairs,"Pacific Rim Center, 321 10th Avenue South, Seattle, WA 98104, USA",12/9/2014,2/17/2016,6,4,0,4,4,4,47.59950617,-122.3206396,1/26/2016,3/29/2016,C,4434,,"8 Number of People, 4 Number of Structures, 1 Garbage / Litter, 1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
6826 SEAVIEW AVE NW,"6826 Seaview Ave NW, Seattle, WA 98117, USA",11/6/2015,1/5/2016,2,2,0,2,1,1,47.6780016,-122.4059139,1/26/2016,8/30/2016,C,4435,,"1 Number of Structures, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Seaview Ave NW & 37th Pl NW,"Seaview Avenue Northwest & 37th Place Northwest, Seattle, WA 98107, USA",7/30/2015,5/23/2018,7,5,1,4,4,4,47.6720139,-122.4053205,1/27/2016,1/12/2016,C,4436,"1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ","1 Garbage / Litter, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
E Harrison St & Harvard Ave E,"801 E Harrison St, Seattle, WA 98102, USA",1/7/2016,2/17/2016,2,1,0,1,0,0,47.6215162,-122.3217164,1/28/2016,4/20/2016,C,4437,,"2 Number of People, 1 Number of Structures, 1 Garbage / Litter, 5 Number of People, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Inside I-5 fence by Kobe Park,"650 S Main St, Seattle, WA 98104, USA",1/7/2016,12/18/2017,3,2,0,2,1,1,47.60004,-122.3250494,1/28/2016,6/8/2017,C,4438,,"1 Number of Structures, ","1 Garbage / Litter, 2 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
15th Ave NW and Leary Way NW - under Ballard Bridge,"15th Ave NW & NW Leary Way, Seattle, WA 98107, USA",1/24/2012,2/6/2018,24,17,2,15,12,13,47.6636651,-122.3764092,1/28/2016,3/31/2016,C,4439,,"1 Garbage / Litter, 12 Number of People, 1 Number of Structures, 1 Garbage / Litter, 4 Number of Structures, 1 Garbage / Litter, ","1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, 2 Hazardous Materials, 2 Fires, 2 Criminal Activity, 2 Weapons, 2 Alcohol / Drugs, 2 Property Damage, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Thornton Creek #2 - Lake City Way entrance,"Lake City Way NE & NE 117th St, Seattle, WA 98125, USA",1/10/2012,4/26/2018,13,6,3,3,5,5,47.7142081,-122.2982219,1/29/2016,10/10/2016,C,4440,"2 Number of People, 4 Number of Structures, ","1 Number of People, 1 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 1 Garbage / Litter, 1 Human Waste, 2 Number of People, 4 Number of Structures, 1 Garbage / Litter, 1 Fires, ","2 Number of People, 2 Number of Structures, ",,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
Green Lake,"Aurora Avenue North & West Green Lake Way N Seattle, WA",5/9/2014,7/11/2016,4,4,0,4,0,0,47.605078,-122.329974,1/29/2016,1/20/2016,C,4441,"1 Number of People, 1 Number of Structures, ","2 Number of Vehicles, ",,,,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
I-5 On/Off Ramps at 10th Ave S & S Dearborn St,"1050 S Dearborn St, Seattle, WA 98104, USA",1/8/2016,2/28/2018,10,7,5,2,14,14,47.5958245,-122.3192714,1/29/2016,12/14/2015,C,4442,"2 Number of People, 1 Number of Structures, 1 Garbage / Litter, 1 Human Waste, 2 Rats / Mice, ","1 Garbage / Litter, 1 Human Waste, 2 Number of Structures, 1 Garbage / Litter, ","2 Number of People, 1 Number of Structures, ","1 Males Contacted, 1 Females Contacted, ",,,,Cleanup Doc:      Inspection Doc:      Inventory Doc:      Site Doc:  ,Camping
