First_Inspection_Date,Type,Location,Posting_Date,Removal_Start,Removal_End,Tents,Structures,Bedrolls,Vehicles,72_Tents,72_ Structures,72_Bedrolls,72_Vehicles,Latitude,Longitude
12/1/2016,72-Hour Clean,NW 49th St & 14th St NW (1415 NW 49th St),12/28/2016,1/4/2017,1/4/2017,0,1,0,0,0,1,0,0,"",""
12/27/2016,Litter Pick,S Atlantic Public Stairs  (Rainier I-90 Transit Stairs),1/9/2017,n/a,n/a,0,0,0,0,0,0,0,0,"",""
12/27/2016,72-Hour Clean,Royal Brougham & 7th,1/5/2017,1/9/2017,1/9/2017,0,1,0,0,0,1,0,0,"",""
12/27/2016,72-Hour Clean,Rainier Ave S - East Side of  Metro Stairs,1/9/2017,1/12/2017,1/12/2017,7,4,0,0,7,4,0,0,47.59015,-122.313
12/30/2016,Hazard,Western & Bell to Blanchard,1/6/2017,1/6/2017,1/6/2017,5,0,0,0,5,0,0,0,"",""
1/1/2017,72-Hour Clean,Utah Ave S - Between Hudson St & S. Dawson St,1/19/2017,1/23/2017,1/24/2017,0,3,0,3,3,0,0,0,"",""
1/1/2017,Support,Western & Bell,n/a,"","",0,0,0,0,0,0,0,0,"",""
1/1/2017,Inspection,40th & Pasadena,"","","",,,,,,,,,"",""
1/1/2017,Inspection,6th Ave NE & NE 72nd St near I-5 SB onramp,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Thornton Creek,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Virgil Flaim Park,"","","",,,,,,,,,"",""
1/1/2017,Inspection,24th Ave S & S McClellan St - Cheasty Greenspace,"","","",,,,,,,,,"",""
1/1/2017,Inspection,500 S Brandon St,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Ballard Playfield,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Boren Place Park,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Duwamish Green Belt,"","","",,,,,,,,,"",""
1/1/2017,Inspection,I-5 eastside closest to 2100 block of 11th Ave S,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Interlaken Park,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Magnolia Playfield,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Salmon Bay Natural Area,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Under I-5 @ Fairview Ave E,"","","",,,,,,,,,"",""
1/1/2017,Inspection,Western & Union (Stairs),"","","",,,,,,,,,"",""
1/1/2017,Inspection,5th Ave NE & NE 45th St,"","","",,,,,,,,,"",""
1/4/2017,CANCELLED,SB Rainier Ave S to EB I-90 on Ramp (Cancelled Because of Weather),1/5/2017,1/4/2017,1/4/2017,0,0,0,0,0,0,0,0,"",""
1/9/2017,72-Hour Clean,City Hall Park & Dilling Way,1/9/2017,1/12/2017,1/13/2017,17,0,0,0,17,0,0,0,"",""
1/10/2017,72-Hour Clean,Poplar & Dean,1/10/2017,1/18/2017,1/18/2017,10,3,0,0,10,3,0,0,"",""
1/11/2017,CANCELLED,Rainier Ave S Quadrant,1/11/2017,1/11/2017,1/11/2017,6,0,1,0,0,0,0,0,"",""
1/31/2017,Hazard,Columbia,1/31/2017,2/2/2017,2/2/2017,11,0,0,0,12,0,0,0,"",""
2/1/2017,Hazard,Western & Bell to Blanchard,2/13/2017,2/1/2017,2/13/2017,6,0,0,0,6,0,0,0,"",""
2/3/2017,72-Hour Clean,Ballard Locks,2/7/2017,2/10/2017,2/10/2017,5,5,0,0,3,0,0,0,"",""
2/8/2017,72-Hour Clean,Mercer Corridor,2/9/2017,2/13/2017,2/28/2017,28,6,1,0,11,0,0,0,47.60508,-122.33
2/14/2017,CANCELLED,Emerson Corridor (Cancelled because of Activists),2/23/2017,2/28/2017,n/a,0,0,0,0,0,0,0,0,"",""
2/16/2017,72-Hour Clean,Gasworks Park & Passage Point Park,2/16/2017,2/22/2017,2/22/2017,16,0,2,0,16,0,2,0,"",""
2/17/2017,Obstruction,Discovery Park,n/a,2/17/2017,2/17/2017,1,0,0,0,1,0,0,,"",""
2/21/2017,Obstruction,Columbia,n/a,2/24/2017,2/24/2017,17,0,0,0,17,0,0,0,"",""
2/23/2017,Hazard,I-5 James Street Exits,2/23/2017,2/23/2017,2/23/2017,12,5,1,0,12,5,1,0,"",""
2/24/2017,Obstruction,Ravenna & Cowen Park,n/a,4/13/2017,4/13/2017,6,2,0,0,6,0,0,0,"",""
2/24/2017,Litter Pick,Myers Way,n/a,2/24/2017,2/24/2017,0,0,0,0,0,0,0,0,"",""
2/27/2017,72-Hour Clean,Airport & Royal Brougham,3/2/2017,3/7/2017,3/10/2017,35,2,0,0,35,2,0,0,"",""
