Posting Date,Removal Date,Location ,If postponed? ,Storage (# of bins),Tonnage,Needles,Tent Count,Construction Posting,Total Monthly Obstructions?,Date of Obstruction?
3/1/2021,3/3/2021,Denny Park,No,1,"6,040",67,7,No,,
4/14/2021,4/16/2021,Miller Playfield ,No,7,"20,840","1,200",48,No,1,
3/2/2021,3/4/2021,Garfield CC,No,1,20,0,1,No,,
3/29/2021,3/31/2021,4th Ave & Yesler ,No,0,"1,300",0,6,No,,
4/21/2021,4/23/2021,University Play Field,No,2,"9,520",267,26,No,,
4/28/2021,4/30/2021,Gilman ,No,3,"8,740",453,18,No,1,
5/17/2021,5/19/2021,8th NW,No,0,"7,100",10,9,No,,
5/4/2021,5/6/2021,Albert Davis ,No,1,"27,800",100,7,No,,
5/10/2021,5/12/2021,Broadway Hill,No,1,500,20,5,No,,
5/3/2021,5/5/2021,Madrona ,No,0,"3,300",0,4,No,,
6/28/2021,6/30/2021,Hubble ,Yes (Posting pulled) ,1,"2,200",100,2,No,,
5/27/2021,5/31/2021,Amy Yee ,No,2,"1,200",1,1,No,1,
5/31/2021,6/2/2021,Georgetown Playfield,No,0,700,0,2,No,,
6/1/2021,6/3/2021,Williams Place Park,No,2,"1,200",13,7,No,,
6/13/2021,6/15/2021,3rd Ave from Cherry St to James St,Yes,0,800,0,2,No,1,
6/8/2021,6/10/2021,1st Ave N between Roy & Mercer,No,0,"1,200",0,6,Yes ,,
6/15/2021,6/17/2021,Pratt Park,No,0,"1,500",0,5,No,,
6/15/2021,6/18/2021,8300 Mary Ave NW,Yes,?,"1,000",5,10,No,,
6/22/2021,6/24/2021,Julia Lee's Park,No,0,"5,040",3,4,No,1,
5/31/2021,6/1/2021,Denny Way & 9th Ave N,No,0,500,12,4,Yes ,,
6/4/2021,6/8/2021,NE Northlake Way & 6th Ave NE,Yes,0,400,10,2,Yes ,,
6/2/2021,6/4/2021,Olga Park,No,0,"11,540",38,10,No,,
6/13/2021,6/15/2021,Union Between 2nd & 3rd,No,0,"1,200",20,4,No,,
6/15/2021,6/16/2021,So of 9401 Myers Wy So,No,1,"2,000",0,1,No,,
6/29/2021,7/1/2021,Tashkent Park,No,0,"2,500",24,6,No,,
7/2/2021,7/6/2021,Roy  St from 9th Ave N to 8th Ave N ,No,0,"3,000",78,5,No,,
7/6/2021,7/8/2021,Volunteer Park ,No,3,"2,500",10,4,No,,
7/7/2021,7/9/2021,Denny Way & 9th Ave N,No,0,900,0,2,No,,
7/7/2021,7/9/2021,Northacres,No,0,700,10,1,No,,
7/12/2021,7/14/2021,2025 5th Ave (AKA 5th & Lenora),No,1,500,2,4,No,,
