Posting Date,Removal Date,Location ,If postponed? ,Storage (# of bins),Tonnage,Needles,Tent Count,Construction Posting,Comments 
1/10/2022,1/12/2022,MLK Park,No,0,"2,000",10,1,No,
1/11/2022,1/13/2022,12015 31st Ave NE,Yes (Posting pulled),0,"7,040",48,6,No,
1/18/2022,1/20/2022,3rd & Cherry ,No,0,"3,000",90,7,No,
1/18/2022,1/19/2022,Westlake Park,No,0,"2,000",80,7,No,
Obstruction,1/21/2022,Julia Lee's Park,No,,,,,N/A,
2/2/2022,2/4/2022,4th and Yesler ,No,0,"2,800",12,3,No,
Obstruction,3/1/2022,4th and Yesler ,No,,,,,No,
2/8/2022,2/10/2022,3rd & Yesler ,No,0,800,15,0,No,
2/10/2022,2/11/2022,N 46th St.-Greenlake Way ,Self resolved,N/A,N/A,N/A,N/A,N/A,
2/14/2022,2/16/2022,Cascade Park ,No,2,"3,000",15,3,N/A,
2/14/2022,2/16/2022,Thomas St. between Pontius Ave N & Minor Ave N (ROW) ,No,0,"1,440",5,2,N/A,
2/14/2022,2/18/2022,Occidental Park ,No,0,"3,000",5,4,N/A,
2/16/2022,2/18/2022,Seven Hills Park ,No,0,"3,210",50,15,N/A,
2/16/2022,2/18/2022,Froula Playground,No,0,0,0,1,N/A,
2/25/2022,2/28/2022,2nd Ave from Clay to Cedar St,No,1,600,10,3,N/A,
2/25/2022,2/28/2022,2nd Ave & Lenora St ,No,1,"3,200",50,14,N/A,
2/25/2022,2/28/2022,Elliot Ave & Vine ,No,1,900,22,1,N/A,
2/25/2022,2/28/2022,1st Ave & Harrison Ave ,No,0,"1,060",0,1,N/A,
2/27/2022,3/2/2022,Dexter & Mercer (AKA Block 59),No,0,"40,680",300,29,N/A,
Obstruction,3/1/2022,Virgil Flaim Park ,No,0,"1,000",5,1,N/A,
3/1/2022,3/3/2022,1st Ave from Wall St. to Battery ,No,0,"1,000",0,3,N/A,
3/1/2022,3/4/2022,South Lake Union Park ,No,0,"3,500",125,3,N/A,
3/1/2022,3/4/2022,4th & Bell,No,0,500,0,1,N/A,
Obstruction,3/7/2022,Highway 99 NB from Roy St. to Mercer St (Northbound 99 & Roy St),No,0,150,0,1,N/A,
Obstruction,3/8/2022,Meridian Playground ,No,0,500,0,1,N/A,
Obstruction,3/8/2022,Ballard Commons ,No,0,0,0,1,N/A,
Obstruction,3/8/2022,Garfield CC,No,0,0,0,1,N/A,
Obstruction,3/8/2022,Ravenna Park ,No,0,500,30,1,N/A,
3/9/2022,3/9/2022,4th Ave Between James & Cherry ,Yes (P.P) Due to Protestors,5,"4,400",120,22,N/A,
3/9/2022,3/9/2022,4th Ave Between Cherry & Columbia ,Yes (P.P) Due to Protestors,0,"4,400",80,10,N/A,
Obstruction,3/9/2022,5th & Yesler ,No,0,50,5,1,N/A,
Obstruction,3/10/2022,Ballard Commons ,No,,,,,N/A,
Obstruction,3/10/2022,2nd Ave from Clay to Cedar St ,No,0,0,0,1,N/A,
3/9/2022,3/11/2022,Westlake Park,No,0,850,35,6,N/A,
Obstruction,3/14/2022,Pinehurst Playground,No,0,80,1,1,N/A,
Obstruction,3/15/2022,Thyme P-Patch ,Self resolved,N/A,N/A,N/A,N/A,N/A,
