ID,ActionDate,Unique ID,Action,TentCount,LivingStructureCount,RVCount,LocationName
12,5/2/2023,1245048,Active Location Inspection,4,0,0,Fairview Ave N & Mercer St Vicinity
12,5/5/2023,1245051,Resolved - Obstruction,0,0,0,Fairview Ave N & Mercer St Vicinity
12,8/18/2023,1245156,Active Location Inspection,1,2,0,Fairview Ave N & Mercer St Vicinity
12,8/23/2023,1245161,Resolved - 72-Hour Notice,1,2,0,Fairview Ave N & Mercer St Vicinity
12,8/24/2023,1245162,Resolved - Obstruction,0,0,0,Fairview Ave N & Mercer St Vicinity
14,3/24/2023,1445009,Active Location Inspection,1,0,0,Licton Springs Park
14,4/6/2023,1445022,Resolved - Obstruction,0,0,0,Licton Springs Park
14,5/16/2023,1445062,Active Location Inspection,1,0,0,Licton Springs Park
14,5/30/2023,1445076,Resolved - Obstruction,0,0,0,Licton Springs Park
14,12/4/2023,1445264,Active Location Inspection,1,0,0,Licton Springs Park
14,12/5/2023,1445265,Resolved - Advanced Notice Obstruction,0,0,0,Licton Springs Park
24,3/8/2023,2444993,Resolved - Obstruction,0,0,0,5615 Phinney ave N
25,5/1/2023,2545047,Active Location Inspection,1,1,0,N 137th St from Ashworth Ave N to Aurora Ave N
25,5/9/2023,2545055,Resolved - Advanced Notice Obstruction,0,0,0,N 137th St from Ashworth Ave N to Aurora Ave N
26,1/20/2023,2644946,Resolved - Obstruction,0,0,0,Ballard Commons Park
26,3/13/2023,2644998,Resolved - Obstruction,0,0,0,Ballard Commons Park
26,3/16/2023,2645001,Resolved - Obstruction,0,0,0,Ballard Commons Park
26,3/17/2023,2645002,Resolved - Obstruction,0,0,0,Ballard Commons Park
26,3/24/2023,2645009,Resolved - Obstruction,0,0,0,Ballard Commons Park
26,3/28/2023,2645013,Resolved - Obstruction,0,0,0,Ballard Commons Park
26,4/5/2023,2645021,Resolved - Obstruction,0,8,0,Ballard Commons Park
26,4/13/2023,2645029,Resolved - Obstruction,0,0,0,Ballard Commons Park
26,4/17/2023,2645033,Active Location Inspection,2,0,0,Ballard Commons Park
