Date of Action,Unique ID,Action,Location Name,Tents Cleared,Living Structure Count,RV Count
2/6/2024,36464,Resolved - Obstruction,Fairview Ave N & Mercer St Vicinity,1,0,0
3/27/2024,42182,Resolved - Advanced Notice Obstruction,Licton Springs Park,2,0,0
6/10/2024,51172,Resolved - Obstruction,Licton Springs Park,4,0,0
6/25/2024,52773,Resolved - Obstruction,Licton Springs Park,1,0,0
7/11/2024,54948,Resolved - Obstruction,Licton Springs Park,1,0,0
7/18/2024,55881,Resolved - Obstruction,Licton Springs Park,1,0,0
7/24/2024,56616,Resolved - Obstruction,Licton Springs Park,1,0,0
7/29/2024,57185,Resolved - Obstruction,Licton Springs Park,2,0,0
12/10/2024,70950,Resolved - Obstruction,Licton Springs Park,1,0,0
5/14/2024,48203,Resolved - Obstruction,Bell St between 4th Ave and 5th,1,0,0
1/17/2024,34375,Resolved - Obstruction,4th Ave from Columbia St to Cherry St,1,0,0
1/16/2024,34218,Resolved - Obstruction,Ballard Commons Park,1,0,0
1/19/2024,34585,Resolved - Obstruction,Ballard Commons Park,1,0,0
1/25/2024,35114,Resolved - Obstruction,Ballard Commons Park,1,0,0
1/26/2024,35327,Resolved - Obstruction,Ballard Commons Park,1,0,0
2/16/2024,37627,Resolved - Obstruction,Ballard Commons Park,1,0,0
2/23/2024,38221,Resolved - Obstruction,Ballard Commons Park,1,0,0
3/7/2024,39682,Resolved - Obstruction,Ballard Commons Park,1,0,0
3/8/2024,39847,Resolved - Obstruction,Ballard Commons Park,1,0,0
3/11/2024,40092,Resolved - Obstruction,Ballard Commons Park,1,0,0
3/13/2024,40375,Resolved - Obstruction,Ballard Commons Park,1,0,0
3/25/2024,41911,Resolved - Obstruction,Ballard Commons Park,1,0,0
5/20/2024,48848,Resolved - Obstruction,Ballard Commons Park,1,0,0
5/28/2024,49574,Resolved - Obstruction,Ballard Commons Park,0,0,0
6/13/2024,51595,Resolved - Obstruction,Ballard Commons Park,1,0,0
7/5/2024,54187,Resolved - Obstruction,Ballard Commons Park,0,0,0
7/23/2024,56447,Resolved - Obstruction,Ballard Commons Park,0,0,0
7/26/2024,56971,Resolved - Obstruction,Ballard Commons Park,0,0,0
8/2/2024,57804,Resolved - Obstruction,Ballard Commons Park,0,0,0
8/5/2024,58046,Resolved - Obstruction,Ballard Commons Park,1,0,0
8/12/2024,58829,Resolved - Obstruction,Ballard Commons Park,0,0,0
8/13/2024,59001,Resolved - Obstruction,Ballard Commons Park,0,0,0
8/15/2024,59369,Resolved - Obstruction,Ballard Commons Park,0,0,0
8/16/2024,59643,Resolved - Obstruction,Ballard Commons Park,1,0,0
8/20/2024,59904,Resolved - Obstruction,Ballard Commons Park,3,0,0
8/21/2024,60001,Resolved - Obstruction,Ballard Commons Park,1,0,0
8/30/2024,61046,Resolved - Obstruction,Ballard Commons Park,1,0,0
9/3/2024,61213,Resolved - Obstruction,Ballard Commons Park,0,0,0
9/4/2024,61386,Resolved - Obstruction,Ballard Commons Park,1,0,0
9/5/2024,61563,Resolved - Obstruction,Ballard Commons Park,1,0,0
9/6/2024,61756,Resolved - Obstruction,Ballard Commons Park,0,0,0
9/9/2024,61839,Resolved - Obstruction,Ballard Commons Park,0,0,0
9/10/2024,61974,Resolved - Obstruction,Ballard Commons Park,0,0,0
9/11/2024,62136,Resolved - Obstruction,Ballard Commons Park,1,0,0
9/19/2024,63127,Resolved - Obstruction,Ballard Commons Park,0,0,0
10/1/2024,64515,Resolved - Obstruction,Ballard Commons Park,0,0,0
10/3/2024,64776,Resolved - Obstruction,Ballard Commons Park,0,0,0
11/1/2024,67604,Resolved - Obstruction,Ballard Commons Park,1,0,0
11/4/2024,67828,Resolved - Obstruction,Ballard Commons Park,1,0,0
11/6/2024,68035,Resolved - Obstruction,Ballard Commons Park,1,0,0
11/13/2024,68594,Resolved - Obstruction,Ballard Commons Park,2,0,0
11/22/2024,69568,Resolved - Obstruction,Ballard Commons Park,2,0,0
11/25/2024,69733,Resolved - Obstruction,Ballard Commons Park,1,0,0
12/2/2024,70138,Resolved - Obstruction,Ballard Commons Park,2,0,0
12/4/2024,70382,Resolved - Obstruction,Ballard Commons Park,1,0,0
