Date of Action,Unique ID,Action,Location Name,Tents Cleared,Living Structure Count,RV Count
6/30/2025,99975,Resolved - Scheduled,West Seattle Bridge EB 4th Ave off ramp,2,,
6/30/2025,99908,Resolved - Advanced Notice Obstruction,Virgil Flaim Park,7,,
6/30/2025,99864,Resolved - Advanced Notice Obstruction,Bitterlake Reservoir ,8,,
6/30/2025,99830,Resolved - Obstruction,Ballard Commons Park,1,,
6/30/2025,99826,Resolved - Obstruction,Ballard Library ,0,,
6/27/2025,99664,Resolved - Obstruction, Third Avenue from Cherry Street to James Street,0,,
6/27/2025,99663,Resolved - Obstruction,Pioneer Park,0,,
6/27/2025,99662,Resolved - Obstruction,S Dearborn st from Maynard Ave S to 6th Ave S,1,,
6/27/2025,99661,Resolved - Obstruction,4th Ave from S Washington St to James St,1,,
6/27/2025,99660,Resolved - Obstruction,4th Ave at Royal Brougham ,1,,
6/27/2025,99659,Resolved - Obstruction,Occidental Square,4,,
6/27/2025,99657,Resolved - Obstruction,10th and Jackson ,0,,
6/27/2025,99646,Resolved - Advanced Notice Obstruction,12th Ave and E Alder St Vicinity,1,,
6/27/2025,99571,Resolved - Obstruction,Cherry St between 6th Ave & 7th Ave,4,,
6/27/2025,99475,Resolved - Obstruction,Weedin PL NE from NE 68th St to 8th Ave NE,1,,
6/26/2025,99369,Resolved - Obstruction,10th and Jackson ,0,,
6/26/2025,99368,Resolved - Obstruction,S Main St from Boren Ave S to 12th Ave S,1,,
6/26/2025,99367,Resolved - Obstruction, Third Avenue from Cherry Street to James Street,0,,
6/26/2025,99350,Resolved - Obstruction,Occidental Square,2,,
6/26/2025,99348,Resolved - Obstruction,S Dearborn st from Maynard Ave S to 6th Ave S,2,,
6/26/2025,99347,Resolved - Obstruction,4th Ave from S Washington St to James St,2,,
6/26/2025,99319,RV Remediation,Seaview Ave NW and the Burke Gilman Trail from Seaview PL NW to NW 65th St,,,0
6/26/2025,99288,Resolved - Obstruction,Albert Davis ,1,,
6/26/2025,99268,Resolved - Advanced Notice Obstruction,Lake City Mini Park,3,,
6/26/2025,99238,Resolved - Obstruction,NW 57th St from 20th Ave NW to 22nd Ave NW,7,,
6/26/2025,99193,Resolved - Advanced Notice Obstruction,University Heights Plaza,1,,
6/25/2025,99113,Resolved - Obstruction,10th and Jackson ,0,,
6/25/2025,99112,Resolved - Obstruction,S Dearborn st from Maynard Ave S to 6th Ave S,1,,
6/25/2025,99111,Resolved - Obstruction,Donnie Chin International Children's Park,1,,
6/25/2025,99110,Resolved - Obstruction,S Dearborn St from i-5 to S Rainier St,2,,
6/25/2025,99109,Resolved - Obstruction,4th Ave from S Washington St to James St,1,,
6/25/2025,99108,Resolved - Obstruction,Pioneer Park,1,,
6/25/2025,99329,Resolved - Obstruction,Kobe Terrace Park,1,,
6/25/2025,99044,Resolved - Obstruction,Blanchard St from 2nd Ave to 3rd Ave,1,,
6/25/2025,99040,Resolved - Obstruction,2nd Ave from Blanchard St to Lenora St,2,,
6/25/2025,98991,Resolved - Obstruction,Occidental Square,3,,
6/25/2025,98979,Resolved - Advanced Notice Obstruction,15th Ave & E Spring St,1,,
6/25/2025,99240,Resolved - Advanced Notice Obstruction,Alki Beach Park,1,,
6/25/2025,98957,Resolved - Advanced Notice Obstruction,Ballard Library ,3,,
6/25/2025,98955,Resolved - Obstruction,Cherry St between 6th Ave & 7th Ave,3,,
6/25/2025,99237,Resolved - Advanced Notice Obstruction,S Industrial Way from 4th Ave S to Airport Way S,2,,
6/24/2025,98855,Resolved - Obstruction,S Dearborn st from Maynard Ave S to 6th Ave S,1,,
6/24/2025,98854,Resolved - Obstruction,Yesler Way to I-5 Southbound to 6th Ave,4,,
6/24/2025,98853,Resolved - Obstruction,Pioneer Park,1,,
6/24/2025,98852,Resolved - Obstruction,Occidental Square,2,,
6/24/2025,98851,Resolved - Obstruction,4th Ave from S Washington St to James St,1,,
6/24/2025,98849,Resolved - Obstruction,Donnie Chin International Children's Park,2,,
6/24/2025,98848,Resolved - Obstruction,Kobe Terrace Park,1,,
6/24/2025,98847,Resolved - Obstruction,S Dearborn St from i-5 to S Rainier St,2,,
6/24/2025,98887,RV Remediation,Fairview Ave E from E Blaine St to Fairview Ave E,,,0
6/24/2025,98769,Resolved - Obstruction,Dr Blanche Lavizzo Park,1,,
6/24/2025,98760,Resolved - Advanced Notice Obstruction,8th Ave NW & NW 43rd St,5,,
6/24/2025,98888,RV Remediation,Fairview Ave E from E Newton St to E Blaine St,,,0
6/24/2025,98714,Resolved - Advanced Notice Obstruction,NW 46th St & 11th Ave NW Vicinity,2,,
6/24/2025,98699,Resolved - Advanced Notice Obstruction,Ballard Commons Park,1,,
6/24/2025,98689,Resolved - Obstruction,NW 57th St from 20th Ave NW to 22nd Ave NW,1,,
6/24/2025,98687,Resolved - Obstruction,Ballard Library ,1,,
6/23/2025,98616,Resolved - Obstruction,S Dearborn St from i-5 to S Rainier St,2,,
6/23/2025,98615,Resolved - Obstruction,S Jackson St & S King St under I-5 Vicinity,1,,
6/23/2025,98614,Resolved - Obstruction,City to Seattle Trail,1,,
6/23/2025,98612,Resolved - Obstruction,UGM Vicinity (S Washington to S Jackson from 2nd - 3rd Ave),1,,
6/23/2025,98611,Resolved - Obstruction,City Hall Park,1,,
6/23/2025,98610,Resolved - Obstruction,4th Ave at Royal Brougham ,1,,
6/23/2025,98608,Resolved - Obstruction,4th Ave from S Washington St to James St,2,,
6/23/2025,98594,Resolved - Scheduled,Rainier Ave S & S Rose St,2,,
6/23/2025,98520,Resolved - Obstruction,Cherry St between 6th Ave & 7th Ave,6,,
6/23/2025,98485,Resolved - Obstruction,Cal Anderson Park ,7,,
6/23/2025,98458,Resolved - Obstruction,Ballard Library ,1,,
6/23/2025,98457,Resolved - Obstruction,Homer Harris Park,2,,
6/20/2025,98308,Resolved - Obstruction,4th Ave from S Washington St to James St,1,,
6/20/2025,98307,Resolved - Obstruction,Pioneer Park,1,,
6/20/2025,98303,Resolved - Advanced Notice Obstruction,Mt. Baker Park,1,,
6/20/2025,98371,Resolved - Advanced Notice Obstruction,13th Ave E from E Mercer St to E Republican St,4,,
6/20/2025,98267,Resolved - Obstruction,Eastlake Ave E and Denny Way Vicinity,2,,
6/20/2025,98209,Resolved - Obstruction,Albert Davis ,2,,
6/20/2025,98190,Resolved - Obstruction,Ballard Commons Park,0,,
6/20/2025,98172,Resolved - Obstruction,NW 57th St from 20th Ave NW to 22nd Ave NW,1,,
6/20/2025,98168,Resolved - Obstruction,Lake City Mini Park,3,,
6/20/2025,98135,Resolved - Obstruction,NW 40th St from 3rd Ave NW to Leary Way NW,1,,
6/20/2025,98132,Resolved - Obstruction,NW 36th St & 3rd Ave NW,1,,
6/18/2025,98071,Resolved - Scheduled,Yesler Way to I-5 Southbound to 6th Ave,6,,
6/18/2025,98069,Resolved - Obstruction,S Dearborn st from Maynard Ave S to 6th Ave S,1,,
6/18/2025,98053,Resolved - Obstruction,Pioneer Park,1,,
6/18/2025,98052,Resolved - Obstruction,4th Ave from S Washington St to James St,2,,
6/18/2025,98001,Resolved - Obstruction,E Spruce St to E Fir St and from 14th Ave to 12th Ave,3,,
6/18/2025,97999,Resolved - Scheduled,King County Property: 6th Ave and Yesler Way,2,,
6/18/2025,97972,Resolved - Advanced Notice Obstruction,NW 46th St & 15th Ave NW,1,,
6/18/2025,97950,Resolved - Advanced Notice Obstruction,NW 50th St between 9th Ave NW and 14th Ave NW ,3,,
6/18/2025,97923,Resolved - Obstruction,Ballard Commons Park,1,,
6/18/2025,97916,Resolved - Obstruction,Cherry St between 6th Ave & 7th Ave,1,,
6/18/2025,97888,Resolved - Obstruction,Ballard Library ,2,,
6/17/2025,98047,Resolved - Obstruction,4th Ave from S Washington St to James St,1,,
6/17/2025,98042,Resolved - Obstruction,Donnie Chin International Children's Park,1,,
6/17/2025,98041,Resolved - Obstruction,S Dearborn st from Maynard Ave S to 6th Ave S,1,,
6/17/2025,98040,Resolved - Obstruction,Airport Way & Maynard Ave S,1,,
6/17/2025,98039,Resolved - Obstruction,4th Ave at Royal Brougham ,1,,
6/17/2025,97798,Resolved - Obstruction,Tashkent Park,2,,
6/17/2025,97787,RV Remediation,10th Ave SW from SW Thistle St to SW Trenton St and SW Thistle from 10th Ave SW to 12 Ave SW,,,0
6/17/2025,97786,RV Remediation,SW Henderson & 9th Ave SW Vicinity,,,0
6/17/2025,97785,RV Remediation,SW Barton PL & 22nd Ave SW Vicinity,,,0
6/17/2025,97783,RV Remediation,SW Cambridge St from 15th Ave SW to 16th Ave SW,,,0
6/17/2025,97782,RV Remediation,SW Barton St from 15th Ave SW to 17th Ave SW,,,0
6/17/2025,97765,Resolved - Advanced Notice Obstruction,1st Ave N from Republican St to Thomas St & Harrison St & Thomas St from 1st Ave N to Queen Anne,1,,
