SweepID,SweepDate,SweepLocation,SweepType,SweepYear,SweepMonth,SweepWeek
A1896,2008-04-18,Cheasty Greenbelt,Camping,2008,4,13983
A550,2008-04-23,Carpool Lot - 6th & Cherry,Encampment,2008,4,13990
A583,2008-05-01,Camp Long,Camping,2008,5,13997
A1707,2008-05-02,Jackson Park Golf Course,Camping,2008,5,13997
A1753,2008-05-07,I-5  7 Ave NE & NE 50 St,Camping,2008,5,14004
A9,2008-05-12,St Marks Greenbelt,Camping,2008,5,14011
A1780,2008-05-19,Denny Way and Broad St Triangle,Camping,2008,5,14018
A551,2008-05-23,Carpool Lot - 6th & Cherry,Encampment,2008,5,14018
A455,2008-05-28,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Camping,2008,5,14025
A552,2008-06-04,Carpool Lot - 6th & Cherry,Camping,2008,6,14032
A21,2008-06-16,6th and Yesler,Camping,2008,6,14046
A553,2008-06-16,Carpool Lot - 6th & Cherry,Camping,2008,6,14046
A456,2008-06-19,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Encampment,2008,6,14046
A554,2008-06-23,Carpool Lot - 6th & Cherry,Encampment,2008,6,14053
A2578,2008-06-23,5th Ave NE & NE 50th St,Camping,2008,6,14053
A555,2008-06-30,Carpool Lot - 6th & Cherry,Camping,2008,6,14060
A1424,2008-06-30,S Michigan St,Camping,2008,6,14060
A252,2008-07-03,Westlake - Between Fremont & Aurora,Encampment,2008,7,14060
A556,2008-07-07,Carpool Lot - 6th & Cherry,Camping,2008,7,14067
A342,2008-08-22,NE Queen Anne Greenbelt,Encampment,2008,8,14109
A457,2008-09-11,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Encampment,2008,9,14130
A54,2008-09-24,E Duwamish Greenbelt - North of Holgate,Encampment,2008,9,14144
A1313,2008-10-01,W Marginal Way SW - WSDOT Parking Lot,Encampment,2008,10,14151
A4,2008-10-10,Discovery Park - Daybreak Star Center,Encampment,2008,10,14158
A501,2008-10-31,Cascade P-Patch,Camping,2008,10,14179
A5,2008-11-17,Alaska Viaduct - Near Stadiums,Encampment,2008,11,14200
A43,2008-11-24,Alaska Viaduct & 1st Ave S,Camping,2008,11,14207
A20,2008-11-24,6th and Yesler,Encampment,2008,11,14207
A343,2008-12-10,NE Queen Anne Greenbelt,Encampment,2008,12,14221
A2462,2009-01-14,27th Ave S & S Walden St,Camping,2009,1,14256
A2230,2009-01-26,5700 block 37th Pl NW,Camping,2009,1,14270
A2463,2009-02-02,27th Ave S & S Walden St,Camping,2009,2,14277
A6,2009-02-04,Alaska Viaduct - Near Stadiums,Encampment,2009,2,14277
A10,2009-02-07,St Marks Greenbelt,Camping,2009,2,14277
A1579,2009-02-17,Alaskan Way Viaduct & Lenora St,Camping,2009,2,14291
A1897,2009-03-03,Cheasty Greenbelt,Encampment,2009,3,14305
A22,2009-03-05,6th and Yesler,Encampment,2009,3,14305
A3262,2009-03-23,S Dearborn & Rainier S,Encampment,2009,3,14326
A344,2009-05-23,NE Queen Anne Greenbelt,Encampment,2009,5,14382
A7,2009-06-30,Alaska Viaduct - Near Stadiums,Encampment,2009,6,14424
A397,2009-06-30,NE 63rd & NE Ravenna,Camping,2009,6,14424
A1898,2009-07-07,Cheasty Greenbelt,Encampment,2009,7,14431
A392,2009-07-07,5th Ave NE  & NE 40th St (Access Road next to I-5),Encampment,2009,7,14431
A444,2009-07-14,Alaskan Way S / S Brougham Way,Encampment,2009,7,14438
A345,2009-08-31,NE Queen Anne Greenbelt,Camping,2009,8,14487
A564,2009-09-10,Beacon Place Parklet,Encampment,2009,9,14494
A604,2009-10-28,1100 Block of Leary Ave NW,Camping,2009,10,14543
A445,2009-12-14,Alaskan Way S / S Brougham Way,Encampment,2009,12,14592
A622,2009-12-14,100 S Spokane Street,Encampment,2009,12,14592
A460,2009-12-22,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Encampment,2009,12,14599
A223,2010-01-22,Magnolia Bridge (under bridge),Encampment,2010,1,14627
A25,2010-01-25,6th and Yesler,Encampment,2010,1,14634
A26,2010-03-08,6th and Yesler,Camping,2010,3,14676
A674,2010-03-16,1426 Alaskan Way,Camping,2010,3,14683
A461,2010-03-24,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Encampment,2010,3,14690
A882,2010-04-05,Alaskan Way S south of Edgar Martinez Wy S,Encampment,2010,4,14704
A8,2010-04-05,Alaska Viaduct - Near Stadiums,Encampment,2010,4,14704
A273,2010-04-13,E Marginal Way S & S Spokane St (parking lot under S Spokane St),Encampment,2010,4,14711
A718,2010-04-22,Alaskan Way Viaduct & S Massachusetts,Encampment,2010,4,14718
A2207,2010-04-26,S Holgate St and Airport Way S,Camping,2010,4,14725
A1119,2010-05-04,Alaskan Way Viaduct & Elliott Ave on ramp,Camping,2010,5,14732
A51,2010-05-04,Alaska Viaduct & 1st Ave S,Camping,2010,5,14732
A968,2010-05-04,4th Ave under Yesler overpass,Camping,2010,5,14732
A1164,2010-05-07,4511 Ravenna Ave NE,Camping,2010,5,14732
A1203,2010-05-18,Alaskan Way S & S Washington St,Camping,2010,5,14746
A589,2010-05-18,Aurora Ave N & Mercer Greenbelt,Camping,2010,5,14746
A2208,2010-06-25,S Holgate St and Airport Way S,Camping,2010,6,14781
A1431,2010-07-16,Greenbelt below N 46th and Aurora Ave N,Camping,2010,7,14802
A1429,2010-07-16,2900 block of Franklin Ave E,Camping,2010,7,14802
A1348,2010-07-27,5501 15th Ave NW,Camping,2010,7,14816
A13,2010-07-29,St Marks Greenbelt,Encampment,2010,7,14816
A53,2010-08-04,Alaska Viaduct & 1st Ave S,Camping,2010,8,14823
A36,2010-08-04,2nd & S Spokane St,Camping,2010,8,14823
A1434,2010-08-09,Trees south of NW 54th St & 32nd Ave NW,Camping,2010,8,14830
A485,2010-08-19,Dilling Way (south of City Hall Park),Camping,2010,8,14837
A1467,2010-08-31,E Marginal Wy S & Duwamish Ave S,Encampment,2010,8,14851
A450,2010-09-20,5300 24th Ave NW,Camping,2010,9,14872
A1485,2010-09-23,Cheasty Blvd NW Slope,Encampment,2010,9,14872
A2122,2010-09-24,Harvard Ave East and Franklin Ave East,Encampment,2010,9,14872
A1456,2010-09-24,NE 45th St & 7th Ave NE,Camping,2010,9,14872
A2579,2010-09-24,5th Ave NE & NE 50th St,Camping,2010,9,14872
A155,2010-09-24,Schmitz Park,Camping,2010,9,14872
A1478,2010-09-27,4th Ave South Under Yesler Way,Encampment,2010,9,14879
