SweepID,SweepDate,SweepLocation,SweepType,TentsRemoved,StructuresRemoved,VehiclesRemoved,SweepLongitude,SweepLatitude,PriorNotice,CurrentMayor,SweepYear,SweepMonth,SweepWeek
A1896,2008-04-18,Cheasty Greenbelt,Camping,,,,-122.304857,47.561178,,Nickels,2008,4,16
A550,2008-04-23,Carpool Lot - 6th & Cherry,Encampment,,,,-122.328736,47.604874,,Nickels,2008,4,17
A583,2008-05-01,Camp Long,Camping,,,,-122.374821,47.555793,,Nickels,2008,5,18
A1707,2008-05-02,Jackson Park Golf Course,Camping,,,,-122.318074,47.72486,,Nickels,2008,5,18
A1753,2008-05-07,I-5  7 Ave NE & NE 50 St,Camping,,,,-122.320898,47.666399,,Nickels,2008,5,19
A9,2008-05-12,St Marks Greenbelt,Camping,,,,-122.322593,47.632212,,Nickels,2008,5,20
A1780,2008-05-19,Denny Way and Broad St Triangle,Camping,,,,-122.35073,47.618582,,Nickels,2008,5,21
A551,2008-05-23,Carpool Lot - 6th & Cherry,Encampment,,,,-122.328736,47.604874,,Nickels,2008,5,21
A455,2008-05-28,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Camping,,,,-122.37422,47.634251,,Nickels,2008,5,22
A552,2008-06-04,Carpool Lot - 6th & Cherry,Camping,,,,-122.328736,47.604874,,Nickels,2008,6,23
A21,2008-06-16,6th and Yesler,Camping,,,,-122.326357,47.601712,,Nickels,2008,6,25
A553,2008-06-16,Carpool Lot - 6th & Cherry,Camping,,,,-122.328736,47.604874,,Nickels,2008,6,25
A456,2008-06-19,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Encampment,,,,-122.37422,47.634251,,Nickels,2008,6,25
A554,2008-06-23,Carpool Lot - 6th & Cherry,Encampment,,,,-122.328736,47.604874,,Nickels,2008,6,26
A2578,2008-06-23,5th Ave NE & NE 50th St,Camping,,,,-122.322841,47.664978,,Nickels,2008,6,26
A555,2008-06-30,Carpool Lot - 6th & Cherry,Camping,,,,-122.328736,47.604874,,Nickels,2008,6,27
A1424,2008-06-30,S Michigan St,Camping,,,,-122.332491,47.544585,,Nickels,2008,6,27
A252,2008-07-03,Westlake - Between Fremont & Aurora,Encampment,,,,-122.348321,47.645094,,Nickels,2008,7,27
A556,2008-07-07,Carpool Lot - 6th & Cherry,Camping,,,,-122.328736,47.604874,,Nickels,2008,7,28
A342,2008-08-22,NE Queen Anne Greenbelt,Encampment,,,,-122.34594,47.6358,,Nickels,2008,8,34
A457,2008-09-11,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Encampment,,,,-122.37422,47.634251,,Nickels,2008,9,37
A54,2008-09-24,E Duwamish Greenbelt - North of Holgate,Encampment,,,,-122.319417,47.588944,,Nickels,2008,9,39
A1313,2008-10-01,W Marginal Way SW - WSDOT Parking Lot,Encampment,,,,-122.342146,47.540332,,Nickels,2008,10,40
A4,2008-10-10,Discovery Park - Daybreak Star Center,Encampment,,,,-122.417736,47.667584,,Nickels,2008,10,41
A501,2008-10-31,Cascade P-Patch,Camping,,,,-122.331734,47.621199,,Nickels,2008,10,44
A5,2008-11-17,Alaska Viaduct - Near Stadiums,Encampment,,,,-122.335768,47.593835,,Nickels,2008,11,47
A43,2008-11-24,Alaska Viaduct & 1st Ave S,Camping,,,,-122.335103,47.59725,,Nickels,2008,11,48
A20,2008-11-24,6th and Yesler,Encampment,,,,-122.326155,47.601812,,Nickels,2008,11,48
A343,2008-12-10,NE Queen Anne Greenbelt,Encampment,,,,-122.34594,47.6358,,Nickels,2008,12,50
A2462,2009-01-14,27th Ave S & S Walden St,Camping,,,,-122.297959,47.571401,,Nickels,2009,1,3
A2230,2009-01-26,5700 block 37th Pl NW,Camping,,,,-122.398553,47.669983,,Nickels,2009,1,4
A2463,2009-02-02,27th Ave S & S Walden St,Camping,,,,-122.297959,47.571401,,Nickels,2009,2,5
A6,2009-02-04,Alaska Viaduct - Near Stadiums,Encampment,,,,-122.335768,47.593835,,Nickels,2009,2,6
A10,2009-02-07,St Marks Greenbelt,Camping,,,,-122.322593,47.632212,,Nickels,2009,2,6
A1579,2009-02-17,Alaskan Way Viaduct & Lenora St,Camping,,,,-122.329974,47.605078,,Nickels,2009,2,7
A1897,2009-03-03,Cheasty Greenbelt,Encampment,,,,-122.304857,47.561178,,Nickels,2009,3,9
A22,2009-03-05,6th and Yesler,Encampment,,,,-122.326155,47.601812,,Nickels,2009,3,10
A3262,2009-03-23,S Dearborn & Rainier S,Encampment,,,,-122.311512,47.595861,,Nickels,2009,3,12
A344,2009-05-23,NE Queen Anne Greenbelt,Encampment,,,,-122.34594,47.6358,,Nickels,2009,5,21
A7,2009-06-30,Alaska Viaduct - Near Stadiums,Encampment,,,,-122.335768,47.593835,,Nickels,2009,6,26
A397,2009-06-30,NE 63rd & NE Ravenna,Camping,,,,-122.321852,47.674548,,Nickels,2009,6,26
A1898,2009-07-07,Cheasty Greenbelt,Encampment,,,,-122.304857,47.561178,,Nickels,2009,7,27
A392,2009-07-07,5th Ave NE  & NE 40th St (Access Road next to I-5),Encampment,,,,-122.323166,47.656553,,Nickels,2009,7,27
A444,2009-07-14,Alaskan Way S / S Brougham Way,Encampment,,,,-122.329974,47.605078,,Nickels,2009,7,28
A345,2009-08-31,NE Queen Anne Greenbelt,Camping,,,,-122.34594,47.6358,,Nickels,2009,8,35
A564,2009-09-10,Beacon Place Parklet,Encampment,,,,-122.329974,47.605078,,Nickels,2009,9,37
A604,2009-10-28,1100 Block of Leary Ave NW,Camping,,,,-122.371205,47.663277,,Nickels,2009,10,44
A445,2009-12-14,Alaskan Way S / S Brougham Way,Encampment,,,,-122.329974,47.605078,,Nickels,2009,12,50
A622,2009-12-14,100 S Spokane Street,Encampment,,,,-122.329974,47.605078,,Nickels,2009,12,50
A460,2009-12-22,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Encampment,,,,-122.37422,47.634251,,Nickels,2009,12,51
A223,2010-01-22,Magnolia Bridge (under bridge),Encampment,,,,-122.37693,47.633492,,McGinn,2010,1,4
A25,2010-01-25,6th and Yesler,Encampment,,,,-122.326357,47.601712,,McGinn,2010,1,4
A26,2010-03-08,6th and Yesler,Camping,,,,-122.326357,47.601712,,McGinn,2010,3,10
A674,2010-03-16,1426 Alaskan Way,Camping,,,,-122.329974,47.605078,,McGinn,2010,3,11
A461,2010-03-24,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Encampment,,,,-122.373113,47.634886,,McGinn,2010,3,12
A882,2010-04-05,Alaskan Way S south of Edgar Martinez Wy S,Encampment,,,,-122.338138,47.588888,,McGinn,2010,4,14
A8,2010-04-05,Alaska Viaduct - Near Stadiums,Encampment,,,,-122.335768,47.593835,,McGinn,2010,4,14
A273,2010-04-13,E Marginal Way S & S Spokane St (parking lot under S Spokane St),Encampment,,,,-122.340354,47.571604,,McGinn,2010,4,15
A718,2010-04-22,Alaskan Way Viaduct & S Massachusetts,Encampment,,,,-122.332077,47.589899,,McGinn,2010,4,17
A2207,2010-04-26,S Holgate St and Airport Way S,Camping,,,,-122.329974,47.605078,,McGinn,2010,4,17
A1119,2010-05-04,Alaskan Way Viaduct & Elliott Ave on ramp,Camping,,,,-122.329974,47.605078,,McGinn,2010,5,18
A51,2010-05-04,Alaska Viaduct & 1st Ave S,Camping,,,,-122.335103,47.59725,,McGinn,2010,5,18
A968,2010-05-04,4th Ave under Yesler overpass,Camping,,,,-122.328969,47.600895,,McGinn,2010,5,18
A1164,2010-05-07,4511 Ravenna Ave NE,Camping,,,,-122.329974,47.605078,,McGinn,2010,5,19
A1203,2010-05-18,Alaskan Way S & S Washington St,Camping,,,,-122.335714,47.600863,,McGinn,2010,5,20
A589,2010-05-18,Aurora Ave N & Mercer Greenbelt,Camping,,,,-122.343602,47.624526,,McGinn,2010,5,20
A2208,2010-06-25,S Holgate St and Airport Way S,Camping,,,,-122.329974,47.605078,,McGinn,2010,6,26
A1431,2010-07-16,Greenbelt below N 46th and Aurora Ave N,Camping,,,,-122.346954,47.661991,,McGinn,2010,7,29
A1429,2010-07-16,2900 block of Franklin Ave E,Camping,,,,-122.329974,47.605078,,McGinn,2010,7,29
A1348,2010-07-27,5501 15th Ave NW,Camping,,,,-122.329974,47.605078,,McGinn,2010,7,30
A13,2010-07-29,St Marks Greenbelt,Encampment,,,,-122.322593,47.632212,,McGinn,2010,7,31
A53,2010-08-04,Alaska Viaduct & 1st Ave S,Camping,,,,-122.335103,47.59725,,McGinn,2010,8,31
